State,2015 - CR,2016 - CR,2017 - CR,2018 - CR,2019 - CR,2020 - CR,YEAR,No. Of Cases In Which Offenders Were Known To The Victims,No. Of Cases In Which Offenders Were Parents / Close Family Members,No. Of Cases In Which Offenders Were Relatives,No. Of Cases In Which Offenders Were Neighbours,No. Of Cases In Which Offenders Were Other Known Persons
Andhra Pradesh,1027,994,988,971,1086,1095,2001,871.0,4.0,81.0,247.0,539.0
Andhra Pradesh,1027,994,988,971,1086,1095,2002,999.0,5.0,94.0,302.0,598.0
Andhra Pradesh,1027,994,988,971,1086,1095,2003,946.0,15.0,82.0,299.0,550.0
Andhra Pradesh,1027,994,988,971,1086,1095,2004,924.0,5.0,69.0,313.0,537.0
Andhra Pradesh,1027,994,988,971,1086,1095,2005,935.0,18.0,98.0,399.0,420.0
Andhra Pradesh,1027,994,988,971,1086,1095,2006,1049.0,1.0,192.0,404.0,452.0
Andhra Pradesh,1027,994,988,971,1086,1095,2007,1070.0,7.0,102.0,469.0,492.0
Andhra Pradesh,1027,994,988,971,1086,1095,2008,1257.0,13.0,116.0,513.0,615.0
Andhra Pradesh,1027,994,988,971,1086,1095,2009,1188.0,2.0,36.0,335.0,815.0
Andhra Pradesh,1027,994,988,971,1086,1095,2010,1362.0,0.0,20.0,507.0,835.0
Andhra Pradesh,1027,994,988,971,1086,1095,2011,1442.0,0.0,29.0,362.0,1051.0
Andhra Pradesh,1027,994,988,971,1086,1095,2012,1341.0,0.0,9.0,521.0,811.0
Andhra Pradesh,1027,994,988,971,1086,1095,2013,1635.0,5.0,156.0,626.0,848.0
Andhra Pradesh,1027,994,988,971,1086,1095,1999,895.0,11.0,110.0,235.0,539.0
Arunachal Pradesh,71,92,59,67,63,60,2001,33.0,0.0,1.0,1.0,31.0
Arunachal Pradesh,71,92,59,67,63,60,2002,38.0,0.0,0.0,4.0,34.0
Arunachal Pradesh,71,92,59,67,63,60,2003,31.0,0.0,1.0,9.0,21.0
Arunachal Pradesh,71,92,59,67,63,60,2004,42.0,0.0,3.0,7.0,32.0
Arunachal Pradesh,71,92,59,67,63,60,2005,35.0,0.0,0.0,0.0,35.0
Arunachal Pradesh,71,92,59,67,63,60,2006,37.0,0.0,0.0,6.0,31.0
Arunachal Pradesh,71,92,59,67,63,60,2007,48.0,0.0,0.0,9.0,39.0
Arunachal Pradesh,71,92,59,67,63,60,2008,42.0,0.0,0.0,2.0,40.0
Arunachal Pradesh,71,92,59,67,63,60,2009,59.0,0.0,1.0,6.0,52.0
Arunachal Pradesh,71,92,59,67,63,60,2010,47.0,0.0,0.0,2.0,45.0
Arunachal Pradesh,71,92,59,67,63,60,2011,42.0,0.0,0.0,5.0,37.0
Arunachal Pradesh,71,92,59,67,63,60,2012,46.0,0.0,1.0,2.0,43.0
Arunachal Pradesh,71,92,59,67,63,60,2013,75.0,0.0,6.0,14.0,55.0
Arunachal Pradesh,71,92,59,67,63,60,1999,39.0,0.0,0.0,5.0,34.0
Assam,1733,1779,1772,1648,1773,1657,2001,817.0,8.0,26.0,146.0,637.0
Assam,1733,1779,1772,1648,1773,1657,2002,970.0,10.0,25.0,286.0,649.0
Assam,1733,1779,1772,1648,1773,1657,2003,1095.0,19.0,75.0,458.0,543.0
Assam,1733,1779,1772,1648,1773,1657,2004,1171.0,15.0,65.0,510.0,581.0
Assam,1733,1779,1772,1648,1773,1657,2005,1182.0,7.0,40.0,444.0,691.0
Assam,1733,1779,1772,1648,1773,1657,2006,1214.0,12.0,108.0,555.0,539.0
Assam,1733,1779,1772,1648,1773,1657,2007,1404.0,1.0,112.0,336.0,955.0
Assam,1733,1779,1772,1648,1773,1657,2008,1438.0,7.0,34.0,204.0,1193.0
Assam,1733,1779,1772,1648,1773,1657,2009,1620.0,9.0,220.0,689.0,702.0
Assam,1733,1779,1772,1648,1773,1657,2010,1721.0,13.0,66.0,438.0,1204.0
Assam,1733,1779,1772,1648,1773,1657,2011,1700.0,0.0,72.0,418.0,1210.0
Assam,1733,1779,1772,1648,1773,1657,2012,1716.0,0.0,29.0,268.0,1419.0
Assam,1733,1779,1772,1648,1773,1657,2013,1937.0,8.0,99.0,990.0,840.0
Assam,1733,1779,1772,1648,1773,1657,1999,703.0,12.0,26.0,209.0,456.0
Bihar,1041,1008,605,651,730,806,2001,888.0,8.0,2.0,382.0,496.0
Bihar,1041,1008,605,651,730,806,2002,1040.0,3.0,4.0,340.0,693.0
Bihar,1041,1008,605,651,730,806,2003,963.0,1.0,17.0,352.0,593.0
Bihar,1041,1008,605,651,730,806,2004,1383.0,6.0,5.0,678.0,694.0
Bihar,1041,1008,605,651,730,806,2005,1147.0,10.0,0.0,508.0,629.0
Bihar,1041,1008,605,651,730,806,2006,1232.0,7.0,0.0,634.0,591.0
Bihar,1041,1008,605,651,730,806,2007,1555.0,2.0,15.0,615.0,923.0
Bihar,1041,1008,605,651,730,806,2008,1302.0,3.0,14.0,593.0,692.0
Bihar,1041,1008,605,651,730,806,2009,929.0,1.0,0.0,519.0,409.0
Bihar,1041,1008,605,651,730,806,2010,795.0,2.0,0.0,479.0,314.0
Bihar,1041,1008,605,651,730,806,2011,934.0,2.0,18.0,408.0,506.0
Bihar,1041,1008,605,651,730,806,2012,908.0,5.0,40.0,479.0,384.0
Bihar,1041,1008,605,651,730,806,2013,1022.0,6.0,26.0,578.0,412.0
Bihar,1041,1008,605,651,730,806,1999,1439.0,20.0,13.0,488.0,918.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2001,959.0,6.0,13.0,217.0,723.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2002,992.0,63.0,123.0,283.0,523.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2003,898.0,39.0,47.0,151.0,661.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2004,969.0,78.0,66.0,232.0,593.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2005,981.0,110.0,137.0,254.0,480.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2006,995.0,97.0,108.0,342.0,448.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2007,982.0,63.0,82.0,370.0,467.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2008,971.0,31.0,72.0,333.0,535.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2009,976.0,24.0,127.0,323.0,502.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2010,1012.0,21.0,81.0,379.0,531.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2011,1053.0,39.0,135.0,392.0,487.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2012,1034.0,30.0,51.0,301.0,652.0
Chhattisgarh,1560,1626,1908,2091,1036,1210,2013,1380.0,15.0,70.0,323.0,972.0
Goa,86,61,76,61,72,60,2001,12.0,0.0,1.0,5.0,6.0
Goa,86,61,76,61,72,60,2002,11.0,0.0,1.0,4.0,6.0
Goa,86,61,76,61,72,60,2003,29.0,0.0,0.0,9.0,20.0
Goa,86,61,76,61,72,60,2004,36.0,1.0,0.0,14.0,21.0
Goa,86,61,76,61,72,60,2005,17.0,1.0,1.0,6.0,9.0
Goa,86,61,76,61,72,60,2006,19.0,1.0,0.0,6.0,12.0
Goa,86,61,76,61,72,60,2007,20.0,1.0,3.0,6.0,10.0
Goa,86,61,76,61,72,60,2008,27.0,0.0,1.0,8.0,18.0
Goa,86,61,76,61,72,60,2009,43.0,1.0,3.0,16.0,23.0
Goa,86,61,76,61,72,60,2010,34.0,2.0,1.0,13.0,18.0
Goa,86,61,76,61,72,60,2011,28.0,1.0,1.0,7.0,19.0
Goa,86,61,76,61,72,60,2012,55.0,3.0,3.0,16.0,33.0
Goa,86,61,76,61,72,60,2013,86.0,6.0,7.0,9.0,64.0
Goa,86,61,76,61,72,60,1999,18.0,1.0,1.0,6.0,10.0
Gujarat,503,982,477,553,528,486,2001,285.0,2.0,16.0,39.0,228.0
Gujarat,503,982,477,553,528,486,2002,253.0,10.0,11.0,39.0,193.0
Gujarat,503,982,477,553,528,486,2003,202.0,7.0,4.0,43.0,148.0
